,Car Make,Probability,Alt1,Alt2
35,Hyundai Azera Sedan 2012,28.8,Suzuki SX4 Hatchback 2012,Audi S4 Sedan 2012
36,Hyundai Elantra Sedan 2007,75.5,Chevrolet Malibu Sedan 2007,Chrysler PT Cruiser Convertible 2008
37,Toyota 4Runner SUV 2012,93.0,GMC Canyon Extended Cab 2012,Dodge Durango SUV 2007
38,Chrysler Town and Country Minivan 2012,55.6,Suzuki Kizashi Sedan 2012,BMW M6 Convertible 2010
39,Mercedes-Benz Sprinter Van 2012,76.1,Hyundai Genesis Sedan 2012,Daewoo Nubira Wagon 2002
40,Audi RS 4 Convertible 2008,63.6,Chevrolet Camaro Convertible 2012,Bentley Continental GT Coupe 2012
41,Honda Odyssey Minivan 2012,69.6,Ford F-150 Regular Cab 2012,Chevrolet Sonic Sedan 2012
42,Mercedes-Benz S-Class Sedan 2012,14.2,BMW X5 SUV 2007,Audi TT Hatchback 2011
43,Dodge Dakota Club Cab 2007,21.5,GMC Canyon Extended Cab 2012,Volvo XC90 SUV 2007
44,Dodge Sprinter Cargo Van 2009,8.2,Plymouth Neon Coupe 1999,Hyundai Elantra Sedan 2007
45,Aston Martin V8 Vantage Coupe 2012,93.8,Hyundai Veloster Hatchback 2012,FIAT 500 Abarth 2012
46,Bentley Arnage Sedan 2009,33.8,Dodge Ram Pickup 3500 Crew Cab 2010,Dodge Dakota Crew Cab 2010
47,Volvo XC90 SUV 2007,25.1,Hyundai Elantra Sedan 2007,Chevrolet Traverse SUV 2012
48,Suzuki SX4 Hatchback 2012,75.9,Suzuki SX4 Sedan 2012,Hyundai Azera Sedan 2012
49,Audi TTS Coupe 2012,36.0,Aston Martin V8 Vantage Convertible 2012,Audi S4 Sedan 2007
50,Hyundai Genesis Sedan 2012,99.3,Infiniti G Coupe IPL 2012,Dodge Magnum Wagon 2008
51,Honda Accord Sedan 2012,51.6,Audi S5 Coupe 2012,Honda Accord Coupe 2012
52,Aston Martin V8 Vantage Convertible 2012,41.0,Mitsubishi Lancer Sedan 2012,Audi R8 Coupe 2012
53,Chevrolet Avalanche Crew Cab 2012,36.9,Chevrolet Malibu Sedan 2007,Chevrolet Monte Carlo Coupe 2007
54,Hyundai Veloster Hatchback 2012,42.0,Ford GT Coupe 2006,Ford Fiesta Sedan 2012
55,GMC Yukon Hybrid SUV 2012,61.1,Cadillac Escalade EXT Crew Cab 2007,Ford F-150 Regular Cab 2007
56,Chevrolet Silverado 1500 Classic Extended Cab 2007,73.6,Chevrolet Silverado 1500 Extended Cab 2012,Ford F-150 Regular Cab 2012
57,Dodge Caliber Wagon 2012,25.0,Aston Martin V8 Vantage Coupe 2012,Ford GT Coupe 2006
58,Chevrolet Corvette ZR1 2012,67.6,Nissan NV Passenger Van 2012,Ferrari 458 Italia Coupe 2012
59,Toyota 4Runner SUV 2012,60.9,Ford Mustang Convertible 2007,AM General Hummer SUV 2000
60,Toyota Corolla Sedan 2012,57.0,Audi S4 Sedan 2007,Audi S6 Sedan 2011
61,Daewoo Nubira Wagon 2002,26.8,Bentley Arnage Sedan 2009,Isuzu Ascender SUV 2008
62,Ford Focus Sedan 2007,22.0,Chrysler 300 SRT-8 2010,Hyundai Elantra Sedan 2007
63,Nissan Leaf Hatchback 2012,30.1,Fisker Karma Sedan 2012,Audi RS 4 Convertible 2008
64,Audi V8 Sedan 1994,76.9,Chevrolet Express Van 2007,GMC Savana Van 2012
65,Suzuki SX4 Hatchback 2012,88.2,Chrysler Town and Country Minivan 2012,Hyundai Elantra Touring Hatchback 2012
66,FIAT 500 Abarth 2012,99.5,Mercedes-Benz E-Class Sedan 2012,Dodge Durango SUV 2012
67,Chrysler Town and Country Minivan 2012,30.4,Ram C/V Cargo Van Minivan 2012,Honda Accord Sedan 2012
68,FIAT 500 Abarth 2012,91.2,Nissan Juke Hatchback 2012,Plymouth Neon Coupe 1999
69,Chevrolet Avalanche Crew Cab 2012,58.1,Dodge Magnum Wagon 2008,BMW 3 Series Sedan 2012
70,Ford E-Series Wagon Van 2012,99.0,Mercedes-Benz S-Class Sedan 2012,Dodge Ram Pickup 3500 Crew Cab 2010
71,Hyundai Veloster Hatchback 2012,67.4,Volvo C30 Hatchback 2012,Daewoo Nubira Wagon 2002
72,Dodge Durango SUV 2012,34.2,Hyundai Sonata Sedan 2012,Dodge Journey SUV 2012
73,Hyundai Veloster Hatchback 2012,100.0,Chevrolet Corvette ZR1 2012,Audi RS 4 Convertible 2008
74,Nissan Leaf Hatchback 2012,93.4,Suzuki SX4 Hatchback 2012,Scion xD Hatchback 2012
75,Lamborghini Gallardo LP 570-4 Superleggera 2012,83.8,Lamborghini Reventon Coupe 2008,AM General Hummer SUV 2000
76,Chevrolet Monte Carlo Coupe 2007,78.3,Rolls-Royce Phantom Sedan 2012,Tesla Model S Sedan 2012
77,Dodge Charger Sedan 2012,91.8,Mitsubishi Lancer Sedan 2012,Hyundai Elantra Touring Hatchback 2012
78,Audi TTS Coupe 2012,61.2,Acura TL Sedan 2012,Acura TL Type-S 2008
79,Audi TTS Coupe 2012,43.8,BMW 1 Series Convertible 2012,Buick Rainier SUV 2007
80,Chrysler PT Cruiser Convertible 2008,40.6,Aston Martin V8 Vantage Convertible 2012,BMW Z4 Convertible 2012
81,Plymouth Neon Coupe 1999,45.8,Daewoo Nubira Wagon 2002,Nissan 240SX Coupe 1998
82,Audi S5 Convertible 2012,19.6,Audi S5 Coupe 2012,BMW M5 Sedan 2010
83,Chevrolet Corvette Convertible 2012,61.4,Daewoo Nubira Wagon 2002,Audi S4 Sedan 2007
84,Chrysler Town and Country Minivan 2012,49.7,Nissan Leaf Hatchback 2012,smart fortwo Convertible 2012
85,Ford E-Series Wagon Van 2012,94.8,Chrysler 300 SRT-8 2010,Mercedes-Benz E-Class Sedan 2012
86,Mercedes-Benz 300-Class Convertible 1993,73.0,Chevrolet Camaro Convertible 2012,Toyota Corolla Sedan 2012
87,Hyundai Genesis Sedan 2012,36.3,BMW ActiveHybrid 5 Sedan 2012,Mercedes-Benz S-Class Sedan 2012
88,Chevrolet Corvette ZR1 2012,76.2,Nissan 240SX Coupe 1998,Ferrari California Convertible 2012
89,Acura TL Sedan 2012,43.4,Ford GT Coupe 2006,Dodge Challenger SRT8 2011
90,BMW M3 Coupe 2012,27.5,Buick Verano Sedan 2012,MINI Cooper Roadster Convertible 2012
91,Jeep Wrangler SUV 2012,51.1,Lamborghini Gallardo LP 570-4 Superleggera 2012,HUMMER H2 SUT Crew Cab 2009
92,FIAT 500 Abarth 2012,67.0,Hyundai Elantra Touring Hatchback 2012,Audi S4 Sedan 2007
93,Dodge Charger Sedan 2012,99.3,Dodge Caliber Wagon 2012,Audi RS 4 Convertible 2008
94,Suzuki SX4 Hatchback 2012,46.4,Hyundai Elantra Touring Hatchback 2012,Mitsubishi Lancer Sedan 2012
95,Spyker C8 Coupe 2009,39.3,Ferrari 458 Italia Coupe 2012,Volvo C30 Hatchback 2012
96,FIAT 500 Abarth 2012,73.8,Volkswagen Golf Hatchback 1991,Aston Martin V8 Vantage Coupe 2012
97,Chrysler Town and Country Minivan 2012,51.6,Ford E-Series Wagon Van 2012,Mercedes-Benz E-Class Sedan 2012
98,Lamborghini Gallardo LP 570-4 Superleggera 2012,48.4,Geo Metro Convertible 1993,Audi S4 Sedan 2007
99,Ford Freestar Minivan 2007,36.0,Chrysler Town and Country Minivan 2012,Ford Focus Sedan 2007
100,Mercedes-Benz E-Class Sedan 2012,53.8,Daewoo Nubira Wagon 2002,Suzuki SX4 Hatchback 2012
101,Audi S5 Convertible 2012,26.5,Chrysler 300 SRT-8 2010,Bentley Arnage Sedan 2009
102,Audi S4 Sedan 2007,85.6,Dodge Charger Sedan 2012,Jaguar XK XKR 2012
103,Dodge Dakota Crew Cab 2010,49.9,Bentley Arnage Sedan 2009,Ford F-450 Super Duty Crew Cab 2012
104,Land Rover Range Rover SUV 2012,15.8,GMC Yukon Hybrid SUV 2012,Ford Edge SUV 2012
105,Ford E-Series Wagon Van 2012,84.2,Isuzu Ascender SUV 2008,Chrysler 300 SRT-8 2010
106,Dodge Challenger SRT8 2011,90.3,Rolls-Royce Phantom Sedan 2012,Rolls-Royce Ghost Sedan 2012
107,Volkswagen Golf Hatchback 1991,76.8,Audi 100 Wagon 1994,Daewoo Nubira Wagon 2002
108,Nissan Leaf Hatchback 2012,99.9,Ford GT Coupe 2006,Ferrari 458 Italia Coupe 2012
109,Audi S6 Sedan 2011,69.7,Mercedes-Benz E-Class Sedan 2012,BMW 3 Series Wagon 2012
110,Jaguar XK XKR 2012,63.1,Chevrolet Monte Carlo Coupe 2007,Ferrari 458 Italia Coupe 2012
111,Chrysler 300 SRT-8 2010,98.9,Audi RS 4 Convertible 2008,HUMMER H2 SUT Crew Cab 2009
112,Hyundai Genesis Sedan 2012,97.6,Chrysler Town and Country Minivan 2012,Mercedes-Benz E-Class Sedan 2012
113,Bentley Continental GT Coupe 2007,38.4,Hyundai Veloster Hatchback 2012,Hyundai Tucson SUV 2012
114,Spyker C8 Convertible 2009,79.8,Mercedes-Benz SL-Class Coupe 2009,Bentley Continental GT Coupe 2012
115,Volkswagen Golf Hatchback 1991,92.8,Audi S4 Sedan 2007,FIAT 500 Abarth 2012
116,Bugatti Veyron 16.4 Coupe 2009,42.4,Tesla Model S Sedan 2012,Audi R8 Coupe 2012
117,Honda Accord Sedan 2012,55.2,Aston Martin V8 Vantage Coupe 2012,BMW ActiveHybrid 5 Sedan 2012
118,Hyundai Azera Sedan 2012,19.4,Aston Martin V8 Vantage Coupe 2012,Hyundai Genesis Sedan 2012
119,Chevrolet Sonic Sedan 2012,20.7,FIAT 500 Convertible 2012,Lamborghini Reventon Coupe 2008
120,Daewoo Nubira Wagon 2002,51.3,Audi 100 Wagon 1994,Ford Focus Sedan 2007
121,Daewoo Nubira Wagon 2002,54.7,Dodge Sprinter Cargo Van 2009,Mercedes-Benz C-Class Sedan 2012
122,FIAT 500 Convertible 2012,34.2,BMW 1 Series Convertible 2012,Bentley Continental Supersports Conv. Convertible 2012
123,Dodge Caravan Minivan 1997,35.9,Honda Accord Sedan 2012,Ford Focus Sedan 2007
124,Aston Martin V8 Vantage Convertible 2012,95.0,Bentley Arnage Sedan 2009,Suzuki Kizashi Sedan 2012
125,Audi S6 Sedan 2011,40.2,Audi S5 Convertible 2012,Chevrolet Corvette ZR1 2012
126,Jeep Grand Cherokee SUV 2012,33.5,Hyundai Tucson SUV 2012,BMW 3 Series Wagon 2012
127,Daewoo Nubira Wagon 2002,42.7,Rolls-Royce Phantom Sedan 2012,Spyker C8 Coupe 2009
128,Audi V8 Sedan 1994,24.0,Mercedes-Benz E-Class Sedan 2012,Hyundai Genesis Sedan 2012
129,Hyundai Veloster Hatchback 2012,85.2,Ford GT Coupe 2006,McLaren MP4-12C Coupe 2012
130,Daewoo Nubira Wagon 2002,81.4,Nissan NV Passenger Van 2012,Chevrolet Sonic Sedan 2012
131,Chevrolet Silverado 1500 Classic Extended Cab 2007,89.9,Cadillac Escalade EXT Crew Cab 2007,Dodge Ram Pickup 3500 Crew Cab 2010
132,Nissan NV Passenger Van 2012,38.2,Audi S4 Sedan 2012,BMW ActiveHybrid 5 Sedan 2012
133,Lamborghini Reventon Coupe 2008,95.6,BMW 3 Series Wagon 2012,Volkswagen Beetle Hatchback 2012
134,Ferrari FF Coupe 2012,13.6,Dodge Charger Sedan 2012,Ford Mustang Convertible 2007
135,Audi S4 Sedan 2007,12.0,Bentley Continental Flying Spur Sedan 2007,Hyundai Sonata Sedan 2012
136,Hyundai Genesis Sedan 2012,31.3,Toyota 4Runner SUV 2012,Dodge Durango SUV 2012
137,Audi 100 Sedan 1994,35.2,Nissan 240SX Coupe 1998,Volvo 240 Sedan 1993
138,Jeep Compass SUV 2012,32.8,Suzuki SX4 Sedan 2012,BMW X5 SUV 2007
139,Chrysler Town and Country Minivan 2012,27.2,Volkswagen Golf Hatchback 2012,Volkswagen Golf Hatchback 1991
140,Volvo C30 Hatchback 2012,62.5,Chevrolet Monte Carlo Coupe 2007,Spyker C8 Coupe 2009
141,Chevrolet Tahoe Hybrid SUV 2012,79.9,BMW X5 SUV 2007,Infiniti QX56 SUV 2011
142,Dodge Magnum Wagon 2008,27.4,BMW 3 Series Sedan 2012,Mercedes-Benz 300-Class Convertible 1993
143,Hyundai Veloster Hatchback 2012,22.4,Bentley Arnage Sedan 2009,BMW M5 Sedan 2010
144,Dodge Challenger SRT8 2011,28.4,Aston Martin V8 Vantage Convertible 2012,Bentley Continental Supersports Conv. Convertible 2012
145,Audi S4 Sedan 2007,19.2,Mercedes-Benz S-Class Sedan 2012,Hyundai Genesis Sedan 2012
146,Bugatti Veyron 16.4 Coupe 2009,51.0,Audi R8 Coupe 2012,Ferrari 458 Italia Coupe 2012
147,Audi S4 Sedan 2012,74.5,Bugatti Veyron 16.4 Coupe 2009,Chevrolet Camaro Convertible 2012
148,Jeep Compass SUV 2012,72.9,Dodge Dakota Club Cab 2007,Dodge Dakota Crew Cab 2010
149,Volvo XC90 SUV 2007,67.9,Dodge Challenger SRT8 2011,Cadillac Escalade EXT Crew Cab 2007
150,Chrysler PT Cruiser Convertible 2008,50.8,Hyundai Sonata Sedan 2012,Cadillac Escalade EXT Crew Cab 2007
151,Mercedes-Benz E-Class Sedan 2012,73.1,Hyundai Genesis Sedan 2012,Mercedes-Benz S-Class Sedan 2012
152,Cadillac Escalade EXT Crew Cab 2007,37.4,Audi A5 Coupe 2012,Audi S4 Sedan 2007
153,Nissan NV Passenger Van 2012,39.3,smart fortwo Convertible 2012,Acura TL Type-S 2008
154,Volvo C30 Hatchback 2012,66.3,BMW M5 Sedan 2010,Mitsubishi Lancer Sedan 2012
155,Mercedes-Benz 300-Class Convertible 1993,15.3,Audi 100 Sedan 1994,Cadillac Escalade EXT Crew Cab 2007
156,Hyundai Elantra Sedan 2007,16.3,Plymouth Neon Coupe 1999,Chevrolet Malibu Sedan 2007
157,Nissan Leaf Hatchback 2012,50.1,Audi TTS Coupe 2012,Bentley Continental Flying Spur Sedan 2007
158,Audi S5 Coupe 2012,77.3,Chevrolet Sonic Sedan 2012,Audi S4 Sedan 2012
159,Hyundai Azera Sedan 2012,50.2,Mercedes-Benz C-Class Sedan 2012,Ford Edge SUV 2012
160,Jeep Wrangler SUV 2012,58.7,Audi RS 4 Convertible 2008,GMC Canyon Extended Cab 2012
161,Tesla Model S Sedan 2012,25.7,Aston Martin V8 Vantage Coupe 2012,Porsche Panamera Sedan 2012
162,Aston Martin V8 Vantage Convertible 2012,52.3,Lamborghini Reventon Coupe 2008,Audi S4 Sedan 2007
163,Chevrolet HHR SS 2010,51.5,Suzuki SX4 Hatchback 2012,BMW 1 Series Coupe 2012
164,Bentley Arnage Sedan 2009,49.8,Mercedes-Benz E-Class Sedan 2012,Cadillac Escalade EXT Crew Cab 2007
165,Chevrolet Corvette ZR1 2012,49.2,Mercedes-Benz E-Class Sedan 2012,Suzuki Kizashi Sedan 2012
166,Ford Edge SUV 2012,33.8,Chevrolet Sonic Sedan 2012,Nissan Leaf Hatchback 2012
167,Nissan Juke Hatchback 2012,47.6,Bentley Arnage Sedan 2009,Jeep Grand Cherokee SUV 2012
168,Dodge Dakota Crew Cab 2010,45.5,Spyker C8 Coupe 2009,Dodge Caliber Wagon 2007
169,Dodge Sprinter Cargo Van 2009,99.1,Mercedes-Benz Sprinter Van 2012,Daewoo Nubira Wagon 2002
170,BMW M5 Sedan 2010,36.0,Chevrolet HHR SS 2010,Bugatti Veyron 16.4 Coupe 2009
171,Hyundai Santa Fe SUV 2012,26.8,Honda Accord Sedan 2012,Dodge Challenger SRT8 2011
172,Nissan NV Passenger Van 2012,99.1,GMC Savana Van 2012,Porsche Panamera Sedan 2012
173,Dodge Caliber Wagon 2007,42.3,Suzuki SX4 Hatchback 2012,Ferrari FF Coupe 2012
174,BMW Z4 Convertible 2012,23.0,Porsche Panamera Sedan 2012,Mercedes-Benz S-Class Sedan 2012
175,Hyundai Genesis Sedan 2012,84.0,Chrysler Aspen SUV 2009,Audi V8 Sedan 1994
176,Aston Martin V8 Vantage Convertible 2012,63.1,Chevrolet Malibu Sedan 2007,Dodge Magnum Wagon 2008
177,Mercedes-Benz Sprinter Van 2012,85.1,Dodge Sprinter Cargo Van 2009,Nissan NV Passenger Van 2012
178,Bentley Arnage Sedan 2009,89.8,Chevrolet Malibu Sedan 2007,Acura RL Sedan 2012
179,Daewoo Nubira Wagon 2002,32.1,smart fortwo Convertible 2012,Geo Metro Convertible 1993
180,BMW 6 Series Convertible 2007,24.4,BMW M6 Convertible 2010,Suzuki Kizashi Sedan 2012
181,Bentley Mulsanne Sedan 2011,88.0,Rolls-Royce Ghost Sedan 2012,Ford GT Coupe 2006
182,Daewoo Nubira Wagon 2002,40.5,Mercedes-Benz E-Class Sedan 2012,Suzuki SX4 Hatchback 2012
183,FIAT 500 Abarth 2012,84.2,Dodge Durango SUV 2012,Nissan Juke Hatchback 2012
184,Ford Freestar Minivan 2007,12.3,Ford Focus Sedan 2007,Buick Rainier SUV 2007
185,Daewoo Nubira Wagon 2002,40.8,MINI Cooper Roadster Convertible 2012,Plymouth Neon Coupe 1999
186,Dodge Challenger SRT8 2011,95.6,Jeep Compass SUV 2012,Aston Martin Virage Convertible 2012
187,Jeep Grand Cherokee SUV 2012,62.2,Nissan NV Passenger Van 2012,Jeep Liberty SUV 2012
188,Chevrolet Impala Sedan 2007,14.6,GMC Yukon Hybrid SUV 2012,BMW X5 SUV 2007
189,Volvo C30 Hatchback 2012,38.9,Chrysler Town and Country Minivan 2012,Suzuki Aerio Sedan 2007
190,Mercedes-Benz C-Class Sedan 2012,19.5,Audi S6 Sedan 2011,Infiniti G Coupe IPL 2012
191,Bentley Continental Flying Spur Sedan 2007,8.0,Volkswagen Golf Hatchback 1991,Bentley Continental GT Coupe 2007
192,Nissan NV Passenger Van 2012,63.8,Mercedes-Benz S-Class Sedan 2012,Aston Martin V8 Vantage Coupe 2012
193,Jeep Compass SUV 2012,89.7,Land Rover LR2 SUV 2012,Jeep Patriot SUV 2012
194,Mercedes-Benz Sprinter Van 2012,28.9,Chevrolet HHR SS 2010,Daewoo Nubira Wagon 2002
195,Chevrolet Corvette ZR1 2012,59.5,Mercedes-Benz E-Class Sedan 2012,Dodge Charger Sedan 2012
196,Jaguar XK XKR 2012,55.7,Mercedes-Benz 300-Class Convertible 1993,Ford Mustang Convertible 2007
197,Honda Accord Coupe 2012,76.4,BMW 3 Series Sedan 2012,BMW M3 Coupe 2012
198,Isuzu Ascender SUV 2008,77.3,Daewoo Nubira Wagon 2002,Dodge Ram Pickup 3500 Quad Cab 2009
199,Volvo C30 Hatchback 2012,41.6,BMW M5 Sedan 2010,Dodge Caliber Wagon 2007
200,BMW 3 Series Sedan 2012,71.2,Chevrolet Corvette ZR1 2012,Ferrari 458 Italia Coupe 2012
201,Honda Odyssey Minivan 2012,80.7,Infiniti QX56 SUV 2011,Chrysler Town and Country Minivan 2012
202,Lamborghini Diablo Coupe 2001,78.5,Spyker C8 Coupe 2009,Hyundai Elantra Touring Hatchback 2012
203,Cadillac SRX SUV 2012,84.8,Acura ZDX Hatchback 2012,Mercedes-Benz 300-Class Convertible 1993
204,Audi S4 Sedan 2007,37.2,Dodge Magnum Wagon 2008,Audi RS 4 Convertible 2008
205,Ford Expedition EL SUV 2009,71.1,Isuzu Ascender SUV 2008,GMC Yukon Hybrid SUV 2012
206,GMC Acadia SUV 2012,16.6,Bentley Arnage Sedan 2009,Honda Accord Sedan 2012
207,Suzuki SX4 Sedan 2012,32.4,Suzuki SX4 Hatchback 2012,Volkswagen Golf Hatchback 1991
208,Ford GT Coupe 2006,22.9,Mercedes-Benz SL-Class Coupe 2009,Daewoo Nubira Wagon 2002
209,Hyundai Veloster Hatchback 2012,33.1,Volvo C30 Hatchback 2012,Audi S6 Sedan 2011
210,Aston Martin V8 Vantage Convertible 2012,43.1,Chevrolet Malibu Hybrid Sedan 2010,Rolls-Royce Ghost Sedan 2012
211,Chrysler 300 SRT-8 2010,59.4,Audi V8 Sedan 1994,Mercedes-Benz S-Class Sedan 2012
212,Daewoo Nubira Wagon 2002,87.7,Chrysler 300 SRT-8 2010,Lamborghini Reventon Coupe 2008
213,Chrysler 300 SRT-8 2010,99.0,FIAT 500 Abarth 2012,Dodge Challenger SRT8 2011
214,Volkswagen Golf Hatchback 1991,56.4,Hyundai Veloster Hatchback 2012,Audi 100 Sedan 1994
215,Audi RS 4 Convertible 2008,50.7,Lamborghini Diablo Coupe 2001,Hyundai Veloster Hatchback 2012
216,BMW M5 Sedan 2010,68.8,BMW 3 Series Wagon 2012,Audi S4 Sedan 2012
217,Audi 100 Sedan 1994,70.9,Suzuki SX4 Sedan 2012,Mercedes-Benz Sprinter Van 2012
218,Mercedes-Benz S-Class Sedan 2012,27.7,Audi S6 Sedan 2011,Land Rover Range Rover SUV 2012
219,Mercedes-Benz Sprinter Van 2012,31.4,Chevrolet Traverse SUV 2012,Honda Accord Sedan 2012
220,Jeep Patriot SUV 2012,40.6,BMW X5 SUV 2007,Volvo 240 Sedan 1993
221,Rolls-Royce Ghost Sedan 2012,70.7,Hyundai Sonata Sedan 2012,smart fortwo Convertible 2012
222,Land Rover Range Rover SUV 2012,52.8,Land Rover LR2 SUV 2012,Dodge Durango SUV 2012
223,Jaguar XK XKR 2012,29.8,Ford GT Coupe 2006,Cadillac CTS-V Sedan 2012
224,FIAT 500 Abarth 2012,46.7,Audi S4 Sedan 2007,Bentley Continental Flying Spur Sedan 2007
225,Bentley Arnage Sedan 2009,77.7,Aston Martin V8 Vantage Convertible 2012,GMC Acadia SUV 2012
226,Chrysler 300 SRT-8 2010,14.5,Audi TTS Coupe 2012,Audi S4 Sedan 2012
227,Dodge Dakota Crew Cab 2010,42.1,Audi 100 Sedan 1994,Audi V8 Sedan 1994
228,Audi S6 Sedan 2011,13.9,Audi S5 Coupe 2012,Audi S4 Sedan 2007
229,Chevrolet Camaro Convertible 2012,87.3,Ferrari California Convertible 2012,Volvo C30 Hatchback 2012
230,Dodge Durango SUV 2007,5.9,Spyker C8 Coupe 2009,GMC Canyon Extended Cab 2012
231,Chevrolet Impala Sedan 2007,33.3,Acura Integra Type R 2001,Spyker C8 Coupe 2009
232,Chrysler PT Cruiser Convertible 2008,17.9,Audi S4 Sedan 2007,BMW 6 Series Convertible 2007
233,Bugatti Veyron 16.4 Coupe 2009,98.0,Audi TTS Coupe 2012,Aston Martin Virage Convertible 2012
234,Suzuki SX4 Hatchback 2012,41.1,Hyundai Elantra Touring Hatchback 2012,Audi S5 Coupe 2012
235,Cadillac Escalade EXT Crew Cab 2007,21.8,Porsche Panamera Sedan 2012,Aston Martin Virage Convertible 2012
236,GMC Canyon Extended Cab 2012,37.7,AM General Hummer SUV 2000,HUMMER H3T Crew Cab 2010
237,Chevrolet Monte Carlo Coupe 2007,84.2,Aston Martin V8 Vantage Convertible 2012,Bentley Continental Supersports Conv. Convertible 2012
238,Bentley Arnage Sedan 2009,52.4,Daewoo Nubira Wagon 2002,Isuzu Ascender SUV 2008
239,smart fortwo Convertible 2012,85.2,Volvo C30 Hatchback 2012,Lamborghini Diablo Coupe 2001
240,Ford Expedition EL SUV 2009,36.9,Hyundai Sonata Sedan 2012,Hyundai Genesis Sedan 2012
241,Suzuki SX4 Hatchback 2012,52.6,Dodge Caravan Minivan 1997,Mercedes-Benz 300-Class Convertible 1993
242,Land Rover LR2 SUV 2012,53.7,GMC Canyon Extended Cab 2012,Dodge Magnum Wagon 2008
243,Ford Edge SUV 2012,34.9,smart fortwo Convertible 2012,Infiniti QX56 SUV 2011
244,Volkswagen Golf Hatchback 2012,73.6,Honda Accord Sedan 2012,Aston Martin V8 Vantage Coupe 2012
