,Predicted,True
156,0024,0020
157,0097,0020
158,0093,0020
159,0092,0020
160,0024,0020
161,0176,0020
162,0024,0020
163,0027,0021
164,0021,0021
165,0021,0021
166,0021,0021
167,0104,0021
168,0021,0021
169,0019,0022
170,0082,0022
171,0021,0022
172,0022,0022
173,0019,0022
174,0141,0022
175,0176,0023
176,0023,0023
177,0102,0023
178,0165,0023
179,0165,0023
180,0006,0023
181,0023,0023
182,0003,0023
183,0067,0023
184,0023,0023
185,0021,0023
186,0193,0024
187,0112,0024
188,0010,0024
189,0183,0024
190,0024,0024
191,0099,0024
192,0044,0024
193,0096,0025
194,0019,0025
195,0167,0025
196,0168,0025
197,0025,0025
198,0025,0025
199,0130,0025
200,0019,0025
201,0102,0025
202,0171,0025
203,0173,0026
204,0012,0026
205,0188,0026
206,0019,0026
207,0079,0026
208,0133,0026
209,0012,0026
210,0007,0026
211,0020,0026
212,0043,0027
213,0164,0027
214,0019,0027
215,0008,0027
216,0027,0027
217,0172,0027
218,0027,0028
219,0029,0028
220,0035,0028
221,0024,0028
222,0183,0029
223,0067,0029
224,0184,0029
225,0029,0029
226,0193,0029
227,0079,0029
228,0023,0029
229,0072,0030
230,0012,0030
231,0182,0030
232,0144,0030
233,0193,0030
234,0164,0030
235,0193,0030
236,0021,0030
237,0013,0031
238,0021,0031
239,0043,0031
240,0008,0031
241,0039,0031
242,0013,0031
243,0008,0031
244,0036,0031
245,0031,0031
246,0035,0031
247,0032,0032
248,0110,0032
249,0108,0032
250,0194,0032
251,0032,0032
252,0008,0032
253,0168,0032
254,0133,0032
255,0003,0032
256,0033,0033
257,0033,0033
258,0033,0033
259,0083,0033
260,0033,0033
261,0027,0033
262,0094,0033
263,0036,0033
264,0051,0034
265,0173,0034
266,0102,0034
267,0192,0034
268,0009,0034
269,0181,0034
270,0020,0034
271,0008,0034
272,0035,0034
273,0019,0035
274,0173,0035
275,0035,0035
276,0035,0035
277,0137,0035
278,0041,0035
279,0101,0035
280,0056,0036
281,0196,0036
282,0164,0036
283,0093,0036
284,0130,0036
285,0008,0036
286,0164,0036
287,0007,0036
288,0008,0036
289,0019,0036
290,0004,0037
291,0121,0037
292,0037,0037
293,0189,0037
294,0018,0037
295,0096,0037
296,0032,0037
297,0021,0038
298,0038,0038
299,0019,0038
300,0045,0038
301,0038,0038
302,0192,0038
303,0059,0038
304,0160,0038
305,0020,0038
306,0047,0038
307,0027,0038
308,0100,0038
309,0010,0039
310,0039,0039
311,0016,0039
312,0057,0039
313,0168,0039
314,0178,0039
315,0039,0039
316,0043,0039
317,0154,0040
318,0176,0040
319,0040,0040
320,0157,0040
321,0099,0040
322,0059,0040
323,0027,0041
324,0141,0041
325,0041,0041
326,0041,0041
327,0041,0041
328,0157,0041
329,0012,0042
330,0008,0042
331,0044,0042
332,0150,0042
333,0099,0042
334,0014,0042
335,0092,0042
336,0092,0042
337,0043,0042
338,0042,0042
339,0176,0042
340,0042,0042
341,0014,0043
342,0083,0043
343,0044,0043
344,0168,0043
345,0044,0043
346,0043,0043
347,0079,0043
348,0044,0044
349,0044,0044
350,0193,0044
351,0032,0044
352,0046,0045
353,0010,0045
354,0045,0045
355,0112,0045
356,0045,0045
357,0180,0045
358,0167,0045
359,0045,0045
360,0046,0046
361,0008,0046
362,0045,0046
363,0045,0046
364,0093,0047
365,0022,0047
366,0140,0047
367,0039,0047
368,0047,0047
369,0047,0047
370,0045,0047
371,0012,0047
372,0180,0047
373,0062,0048
374,0053,0048
375,0121,0048
376,0121,0048
377,0108,0048
378,0151,0048
379,0002,0049
380,0023,0049
381,0170,0049
382,0129,0049
383,0058,0049
384,0168,0049
385,0079,0050
386,0121,0050
387,0058,0050
388,0195,0050
389,0082,0050
390,0058,0050
391,0079,0050
392,0126,0050
393,0118,0050
394,0014,0051
395,0010,0051
396,0030,0051
397,0168,0051
398,0056,0051
399,0024,0051
400,0145,0051
401,0040,0051
402,0164,0052
403,0079,0052
404,0110,0052
405,0052,0052
406,0052,0052
407,0040,0052
408,0122,0053
409,0053,0053
410,0076,0053
411,0099,0053
412,0111,0054
413,0070,0054
414,0084,0054
415,0195,0054
416,0001,0054
417,0001,0054
418,0065,0054
419,0109,0054
420,0051,0054
421,0055,0055
422,0128,0055
423,0021,0055
424,0006,0055
425,0104,0055
426,0102,0055
427,0151,0055
428,0012,0055
429,0130,0055
430,0055,0056
431,0043,0056
432,0033,0056
433,0162,0056
434,0092,0056
435,0168,0056
436,0137,0056
437,0160,0056
438,0099,0056
439,0151,0056
440,0024,0056
441,0045,0056
442,0057,0057
443,0169,0057
444,0101,0057
445,0008,0057
446,0140,0057
447,0166,0057
448,0121,0058
449,0121,0058
450,0112,0058
451,0149,0058
452,0040,0058
453,0043,0059
454,0168,0059
455,0010,0059
456,0012,0059
457,0024,0059
458,0059,0059
459,0130,0059
460,0012,0059
461,0012,0059
462,0029,0060
463,0171,0060
464,0089,0060
465,0060,0060
466,0042,0060
467,0014,0060
468,0060,0060
469,0168,0061
470,0115,0061
471,0165,0061
472,0135,0061
473,0023,0061
474,0051,0061
475,0082,0061
476,0170,0061
477,0169,0062
478,0126,0062
479,0164,0062
480,0130,0062
481,0092,0062
482,0143,0062
483,0091,0062
484,0119,0062
485,0149,0062
486,0062,0062
487,0066,0063
488,0010,0063
489,0019,0063
490,0168,0063
491,0012,0063
492,0071,0064
493,0063,0064
494,0081,0064
495,0167,0064
496,0119,0064
497,0119,0064
498,0071,0064
499,0168,0064
500,0119,0064
501,0064,0064
502,0161,0065
503,0070,0065
504,0091,0065
505,0093,0065
506,0157,0065
507,0083,0065
508,0125,0065
509,0092,0065
510,0130,0065
511,0027,0066
512,0097,0066
513,0055,0066
514,0015,0066
515,0181,0066
516,0003,0066
517,0188,0067
518,0173,0067
519,0003,0067
520,0168,0067
521,0135,0067
522,0003,0067
523,0051,0067
524,0132,0068
525,0079,0068
526,0195,0068
527,0141,0068
528,0068,0068
529,0063,0068
530,0135,0068
531,0050,0068
532,0075,0069
533,0069,0069
534,0101,0069
535,0069,0069
536,0079,0069
537,0027,0069
538,0118,0069
539,0112,0069
540,0070,0070
541,0016,0070
542,0069,0070
543,0054,0070
544,0122,0070
545,0113,0070
546,0053,0070
547,0069,0070
548,0070,0070
549,0071,0071
550,0184,0071
551,0119,0071
552,0064,0071
553,0071,0071
554,0119,0071
555,0064,0071
556,0071,0071
557,0071,0071
558,0040,0071
559,0043,0072
560,0128,0072
561,0024,0072
562,0061,0072
563,0083,0072
564,0193,0072
565,0171,0072
566,0067,0072
567,0043,0072
568,0077,0073
569,0044,0073
570,0077,0073
571,0073,0073
572,0145,0073
573,0065,0073
574,0003,0073
575,0071,0074
576,0116,0074
577,0124,0074
578,0111,0074
579,0114,0074
580,0074,0074
581,0075,0074
582,0032,0074
583,0074,0074
584,0169,0074
585,0074,0075
586,0086,0075
587,0075,0075
588,0069,0075
589,0075,0075
590,0074,0075
591,0075,0075
592,0086,0075
593,0094,0075
594,0114,0075
595,0075,0075
596,0076,0076
597,0087,0076
598,0076,0076
599,0076,0076
600,0195,0076
601,0040,0076
602,0116,0076
603,0115,0076
604,0145,0076
605,0054,0076
606,0077,0077
607,0161,0077
608,0115,0077
609,0079,0077
610,0037,0078
611,0092,0078
612,0172,0078
613,0184,0078
614,0127,0078
615,0130,0078
616,0078,0078
617,0092,0079
618,0083,0079
619,0148,0079
620,0138,0079
621,0019,0079
622,0185,0079
623,0015,0079
624,0033,0079
625,0024,0079
626,0079,0079
627,0044,0079
628,0164,0080
629,0176,0080
630,0074,0080
631,0164,0080
632,0171,0080
633,0165,0080
634,0183,0080
635,0029,0081
636,0186,0081
637,0060,0081
638,0044,0081
639,0138,0081
640,0010,0081
641,0072,0081
642,0081,0081
643,0082,0082
644,0008,0082
645,0082,0082
646,0019,0082
647,0178,0082
648,0082,0082
649,0141,0082
650,0082,0082
651,0190,0082
652,0079,0083
653,0115,0083
654,0149,0083
655,0185,0083
656,0083,0083
657,0164,0083
658,0083,0083
659,0012,0083
660,0096,0084
661,0083,0084
662,0115,0084
663,0084,0084
664,0083,0084
665,0128,0084
666,0084,0084
667,0084,0084
668,0083,0084
669,0083,0084
670,0172,0085
671,0073,0085
672,0172,0085
673,0194,0085
674,0183,0085
675,0172,0085
676,0082,0085
677,0085,0085
678,0086,0086
679,0096,0086
680,0110,0086
681,0086,0086
682,0086,0086
683,0075,0086
684,0079,0086
685,0086,0086
686,0054,0086
687,0086,0086
688,0070,0087
689,0109,0087
690,0122,0087
691,0087,0087
692,0087,0087
693,0074,0087
694,0125,0087
695,0114,0087
696,0145,0088
697,0166,0088
698,0088,0088
699,0116,0088
700,0031,0088
701,0166,0088
702,0088,0088
703,0085,0088
704,0166,0088
705,0089,0089
706,0068,0089
707,0138,0089
708,0024,0089
709,0089,0089
710,0077,0089
711,0110,0090
712,0075,0090
713,0069,0090
714,0076,0090
715,0110,0090
716,0083,0090
717,0110,0090
718,0084,0090
719,0091,0090
720,0079,0090
721,0143,0090
722,0091,0091
723,0075,0091
724,0091,0091
725,0122,0091
726,0106,0091
727,0091,0091
728,0091,0091
729,0087,0091
730,0083,0091
731,0114,0091
732,0025,0092
733,0033,0092
734,0171,0092
735,0059,0092
736,0121,0092
737,0092,0092
738,0079,0092
739,0171,0092
740,0046,0093
741,0141,0093
742,0015,0093
743,0140,0093
744,0059,0093
745,0093,0093
746,0094,0094
747,0079,0094
748,0023,0094
749,0165,0094
750,0094,0094
751,0094,0094
752,0082,0094
753,0094,0094
754,0092,0094
755,0059,0095
756,0094,0095
757,0071,0095
758,0195,0095
759,0169,0095
760,0012,0095
761,0079,0095
762,0194,0095
763,0035,0095
764,0110,0095
765,0096,0096
766,0096,0096
767,0096,0096
768,0096,0096
769,0144,0096
770,0153,0096
771,0077,0096
772,0164,0096
773,0165,0096
774,0015,0096
775,0079,0096
776,0160,0096
777,0023,0096
778,0130,0096
779,0112,0096
780,0008,0096
781,0102,0097
782,0096,0097
783,0065,0097
784,0194,0097
785,0177,0097
786,0012,0097
787,0059,0097
788,0097,0097
789,0092,0097
790,0011,0097
791,0171,0098
792,0097,0098
793,0056,0098
794,0031,0098
795,0073,0098
796,0044,0098
797,0099,0099
798,0099,0099
799,0099,0099
800,0099,0099
801,0099,0099
802,0093,0099
803,0100,0100
804,0081,0100
805,0040,0100
806,0024,0100
807,0178,0100
808,0112,0100
809,0100,0100
810,0101,0101
811,0102,0101
812,0010,0101
813,0101,0101
814,0102,0102
815,0102,0102
816,0104,0102
817,0010,0102
818,0102,0102
819,0102,0102
820,0173,0102
821,0012,0102
822,0102,0103
823,0178,0103
824,0104,0103
825,0055,0103
826,0039,0103
827,0104,0104
828,0020,0104
829,0102,0104
830,0044,0104
831,0008,0105
832,0112,0105
833,0105,0105
834,0043,0105
835,0008,0105
836,0185,0105
837,0010,0105
838,0014,0105
839,0106,0106
840,0074,0106
841,0075,0106
842,0065,0106
843,0106,0106
844,0068,0106
845,0106,0106
846,0044,0106
847,0040,0106
848,0143,0106
849,0086,0106
850,0116,0106
851,0051,0107
852,0044,0107
853,0164,0107
854,0014,0107
855,0007,0107
856,0051,0107
857,0012,0107
858,0102,0107
859,0108,0108
860,0127,0108
861,0085,0108
862,0115,0108
863,0135,0108
864,0138,0108
865,0082,0108
866,0083,0108
867,0138,0108
868,0093,0108
869,0172,0108
870,0164,0109
871,0010,0109
872,0189,0109
873,0109,0109
874,0126,0109
875,0078,0109
876,0109,0109
877,0110,0110
878,0165,0110
879,0058,0110
880,0142,0110
881,0094,0110
882,0083,0110
883,0020,0110
884,0007,0110
885,0132,0111
886,0083,0111
887,0024,0111
888,0110,0111
889,0114,0111
890,0135,0111
891,0053,0111
892,0111,0111
893,0059,0112
894,0112,0112
895,0024,0112
896,0104,0112
897,0008,0112
898,0112,0112
899,0102,0112
900,0102,0112
901,0180,0112
902,0045,0112
903,0144,0113
904,0084,0113
905,0012,0113
906,0065,0113
907,0075,0113
908,0072,0113
909,0131,0113
910,0030,0113
911,0111,0113
912,0113,0113
913,0122,0114
914,0069,0114
915,0079,0114
916,0060,0114
917,0075,0114
918,0075,0114
919,0040,0114
920,0116,0114
921,0079,0114
922,0146,0114
923,0075,0114
924,0113,0114
925,0170,0115
926,0149,0115
927,0014,0115
928,0191,0115
929,0061,0115
930,0102,0115
931,0115,0115
932,0178,0115
933,0115,0115
934,0030,0116
935,0116,0116
936,0070,0116
937,0116,0116
938,0074,0116
939,0174,0116
940,0079,0116
941,0191,0116
942,0071,0116
943,0116,0116
944,0116,0116
945,0082,0116
946,0014,0117
947,0168,0117
948,0117,0117
949,0049,0117
950,0149,0117
951,0117,0117
952,0135,0117
953,0083,0117
954,0168,0117
955,0024,0117
956,0113,0118
957,0149,0118
958,0149,0118
959,0138,0118
960,0075,0118
961,0001,0118
962,0118,0118
963,0110,0118
964,0071,0119
965,0071,0119
966,0095,0119
967,0071,0119
968,0064,0119
969,0169,0119
970,0071,0119
971,0071,0119
972,0172,0120
973,0106,0120
974,0177,0120
975,0106,0120
976,0003,0120
977,0040,0120
978,0091,0120
979,0075,0120
980,0069,0120
981,0120,0120
982,0120,0120
983,0053,0120
984,0061,0121
985,0092,0121
986,0033,0121
987,0132,0121
988,0145,0121
989,0149,0121
990,0124,0122
991,0055,0122
992,0075,0122
993,0001,0122
994,0137,0122
995,0074,0122
996,0149,0122
997,0172,0123
998,0181,0123
999,0082,0123
1000,0123,0123
1001,0123,0123
1002,0181,0123
1003,0012,0123
1004,0139,0123
1005,0012,0123
1006,0012,0124
1007,0001,0124
1008,0001,0124
1009,0149,0124
1010,0075,0124
1011,0056,0124
1012,0011,0124
1013,0125,0124
1014,0124,0124
1015,0001,0124
1016,0125,0125
1017,0074,0125
1018,0125,0125
1019,0170,0125
1020,0126,0126
1021,0127,0126
1022,0126,0126
1023,0126,0126
1024,0126,0126
1025,0126,0126
1026,0126,0126
1027,0082,0127
1028,0135,0127
1029,0131,0127
1030,0135,0127
1031,0135,0127
1032,0168,0127
1033,0193,0127
1034,0135,0127
1035,0181,0127
1036,0063,0127
1037,0127,0127
1038,0132,0127
1039,0161,0128
1040,0187,0128
1041,0024,0128
1042,0102,0128
1043,0141,0128
1044,0128,0128
1045,0137,0128
1046,0079,0128
1047,0023,0128
1048,0019,0128
1049,0051,0128
1050,0092,0129
1051,0129,0129
1052,0094,0129
1053,0110,0129
1054,0115,0129
1055,0022,0129
1056,0126,0129
1057,0135,0129
1058,0011,0130
1059,0173,0130
1060,0093,0130
1061,0019,0130
1062,0008,0130
1063,0046,0130
1064,0130,0130
1065,0012,0130
1066,0137,0131
1067,0131,0131
1068,0118,0131
1069,0133,0131
1070,0010,0131
1071,0073,0131
1072,0079,0131
1073,0195,0131
1074,0024,0132
1075,0121,0132
1076,0027,0132
1077,0135,0132
1078,0110,0132
1079,0132,0132
1080,0133,0132
1081,0058,0132
1082,0164,0132
1083,0132,0133
1084,0138,0133
1085,0058,0133
1086,0133,0133
1087,0137,0133
1088,0165,0133
1089,0076,0133
1090,0083,0133
1091,0138,0133
1092,0132,0133
1093,0012,0133
1094,0094,0134
1095,0168,0134
1096,0185,0134
1097,0008,0134
1098,0049,0134
1099,0089,0134
1100,0067,0134
1101,0185,0134
1102,0021,0134
1103,0140,0134
1104,0067,0134
1105,0063,0135
1106,0178,0135
1107,0023,0135
1108,0190,0135
1109,0099,0135
1110,0167,0135
1111,0110,0135
1112,0078,0135
1113,0103,0136
1114,0161,0136
1115,0024,0136
1116,0135,0136
1117,0183,0136
1118,0132,0136
1119,0136,0136
1120,0164,0137
1121,0140,0137
1122,0137,0137
1123,0164,0137
1124,0140,0137
1125,0137,0137
1126,0131,0137
1127,0137,0137
1128,0092,0137
1129,0137,0137
1130,0168,0137
1131,0096,0138
1132,0082,0138
1133,0164,0138
1134,0138,0138
1135,0024,0138
1136,0031,0138
1137,0140,0138
1138,0138,0138
1139,0077,0138
1140,0083,0138
1141,0129,0138
1142,0185,0138
1143,0081,0138
1144,0079,0139
1145,0094,0139
1146,0185,0139
1147,0128,0139
1148,0183,0139
1149,0187,0140
1150,0024,0140
1151,0140,0140
1152,0164,0140
1153,0164,0140
1154,0137,0140
1155,0138,0140
1156,0118,0140
1157,0170,0140
1158,0141,0140
1159,0185,0140
1160,0164,0140
1161,0164,0140
1162,0019,0140
1163,0014,0140
1164,0144,0141
1165,0022,0141
1166,0005,0141
1167,0030,0141
1168,0023,0141
1169,0025,0141
1170,0141,0141
1171,0051,0141
1172,0141,0141
1173,0141,0141
1174,0079,0142
1175,0053,0142
1176,0133,0142
1177,0126,0142
1178,0019,0142
1179,0168,0142
1180,0087,0143
1181,0095,0143
1182,0116,0143
1183,0048,0143
1184,0120,0143
1185,0164,0143
1186,0094,0143
1187,0017,0143
1188,0049,0144
1189,0021,0144
1190,0014,0144
1191,0079,0144
1192,0046,0144
1193,0057,0144
1194,0145,0145
1195,0040,0145
1196,0125,0145
1197,0109,0145
1198,0132,0145
1199,0040,0145
1200,0147,0145
1201,0069,0145
1202,0091,0145
1203,0194,0145
1204,0121,0145
1205,0146,0146
1206,0125,0146
1207,0168,0146
1208,0090,0146
1209,0146,0146
1210,0146,0146
1211,0145,0146
1212,0155,0146
1213,0058,0146
1214,0146,0146
1215,0145,0146
1216,0074,0146
1217,0079,0147
1218,0147,0147
1219,0079,0147
1220,0064,0147
1221,0124,0147
1222,0082,0147
1223,0116,0147
1224,0167,0147
1225,0118,0147
1226,0003,0148
1227,0148,0148
1228,0148,0148
1229,0032,0148
1230,0145,0148
1231,0007,0148
1232,0071,0148
1233,0059,0148
1234,0149,0148
1235,0148,0148
1236,0149,0148
1237,0145,0148
1238,0082,0149
1239,0149,0149
1240,0010,0149
1241,0008,0149
1242,0149,0149
1243,0196,0150
1244,0008,0150
1245,0185,0150
1246,0097,0150
1247,0046,0150
1248,0112,0150
1249,0015,0150
1250,0160,0151
1251,0104,0151
1252,0151,0151
1253,0056,0151
1254,0055,0151
1255,0160,0151
1256,0102,0151
1257,0152,0152
1258,0130,0152
1259,0055,0152
1260,0152,0152
1261,0097,0152
1262,0152,0152
1263,0152,0152
1264,0152,0152
1265,0152,0152
1266,0152,0152
1267,0024,0152
1268,0130,0153
1269,0153,0153
1270,0153,0153
1271,0103,0153
1272,0012,0153
1273,0112,0153
1274,0112,0153
1275,0153,0153
1276,0152,0153
1277,0032,0154
1278,0137,0154
1279,0082,0154
1280,0078,0154
1281,0154,0154
1282,0041,0154
1283,0149,0154
1284,0195,0154
1285,0121,0154
1286,0142,0154
1287,0195,0155
1288,0110,0155
1289,0139,0155
1290,0149,0155
1291,0135,0155
1292,0115,0155
1293,0156,0156
1294,0083,0156
1295,0026,0156
1296,0169,0156
1297,0092,0156
1298,0073,0156
1299,0156,0156
1300,0156,0156
1301,0022,0157
1302,0003,0157
1303,0157,0157
1304,0014,0157
1305,0157,0157
1306,0092,0157
1307,0079,0157
1308,0047,0158
1309,0022,0158
1310,0158,0158
1311,0133,0158
1312,0046,0158
1313,0044,0158
1314,0121,0158
1315,0019,0158
1316,0048,0159
1317,0195,0159
1318,0053,0159
1319,0048,0159
1320,0115,0159
1321,0180,0160
1322,0092,0160
1323,0151,0160
1324,0151,0160
1325,0160,0160
1326,0160,0160
1327,0151,0160
1328,0112,0160
1329,0151,0160
1330,0112,0160
1331,0011,0160
1332,0160,0160
1333,0151,0160
1334,0160,0160
1335,0160,0160
1336,0102,0160
1337,0006,0161
1338,0097,0161
1339,0076,0161
1340,0091,0161
1341,0145,0161
1342,0012,0161
1343,0161,0161
1344,0041,0161
1345,0137,0162
1346,0194,0162
1347,0024,0162
1348,0053,0162
1349,0029,0162
1350,0087,0162
1351,0093,0162
1352,0164,0163
1353,0057,0163
1354,0112,0163
1355,0165,0163
1356,0035,0163
1357,0163,0163
1358,0140,0163
1359,0164,0164
1360,0164,0164
1361,0186,0164
1362,0165,0164
1363,0164,0164
1364,0164,0164
1365,0164,0164
1366,0043,0165
1367,0194,0165
1368,0137,0165
1369,0140,0165
1370,0164,0165
1371,0165,0165
1372,0101,0165
1373,0165,0165
1374,0138,0165
1375,0088,0166
1376,0166,0166
1377,0169,0166
1378,0088,0166
1379,0082,0166
1380,0154,0166
1381,0166,0166
1382,0166,0166
1383,0166,0166
1384,0166,0166
1385,0112,0167
1386,0089,0167
1387,0101,0167
1388,0167,0167
1389,0164,0167
1390,0130,0167
1391,0008,0168
1392,0084,0168
1393,0168,0168
1394,0168,0168
1395,0168,0168
1396,0101,0168
1397,0168,0168
1398,0115,0168
1399,0092,0168
1400,0168,0168
1401,0169,0169
1402,0149,0169
1403,0174,0169
1404,0169,0169
1405,0082,0169
1406,0137,0169
1407,0169,0169
1408,0121,0170
1409,0102,0170
1410,0170,0170
1411,0101,0170
1412,0042,0170
1413,0097,0170
1414,0173,0170
1415,0170,0170
1416,0003,0170
1417,0171,0171
1418,0181,0171
1419,0023,0171
1420,0137,0171
1421,0092,0171
1422,0171,0171
1423,0193,0171
1424,0172,0172
1425,0085,0172
1426,0040,0172
1427,0172,0172
1428,0168,0172
1429,0191,0172
1430,0123,0172
1431,0082,0172
1432,0183,0172
1433,0172,0172
1434,0172,0172
1435,0101,0173
1436,0044,0173
1437,0018,0173
1438,0130,0173
1439,0045,0173
1440,0042,0173
1441,0051,0173
1442,0141,0173
1443,0055,0173
1444,0101,0173
1445,0065,0174
1446,0169,0174
1447,0126,0174
1448,0018,0174
1449,0174,0174
1450,0078,0174
1451,0168,0174
1452,0112,0175
1453,0079,0175
1454,0008,0175
1455,0079,0175
1456,0176,0175
1457,0043,0175
1458,0161,0175
1459,0079,0176
1460,0177,0176
1461,0024,0176
1462,0173,0176
1463,0194,0176
1464,0008,0176
1465,0079,0176
1466,0176,0177
1467,0177,0177
1468,0151,0177
1469,0142,0177
1470,0079,0177
1471,0141,0177
1472,0177,0177
1473,0063,0177
1474,0092,0177
1475,0040,0177
1476,0117,0178
1477,0132,0178
1478,0159,0178
1479,0178,0178
1480,0027,0178
1481,0012,0179
1482,0180,0179
1483,0171,0179
1484,0057,0179
1485,0130,0179
1486,0056,0179
1487,0024,0179
1488,0097,0179
1489,0014,0179
1490,0130,0179
1491,0104,0180
1492,0010,0180
1493,0097,0180
1494,0024,0180
1495,0099,0180
1496,0008,0180
1497,0102,0180
1498,0185,0180
1499,0181,0181
1500,0181,0181
1501,0100,0181
1502,0100,0181
1503,0082,0181
1504,0171,0181
1505,0181,0181
1506,0184,0181
1507,0195,0181
1508,0171,0181
1509,0184,0181
1510,0005,0181
1511,0181,0181
1512,0168,0182
1513,0044,0182
1514,0051,0182
1515,0144,0182
1516,0189,0182
1517,0093,0182
1518,0184,0183
1519,0084,0183
1520,0024,0183
1521,0183,0183
1522,0029,0183
1523,0104,0183
1524,0018,0183
1525,0135,0183
1526,0034,0183
1527,0099,0183
1528,0024,0184
1529,0178,0184
1530,0063,0184
1531,0008,0184
1532,0033,0185
1533,0022,0185
1534,0185,0185
1535,0007,0185
1536,0059,0185
1537,0185,0185
1538,0186,0186
1539,0186,0186
1540,0065,0186
1541,0030,0187
1542,0128,0187
1543,0003,0187
1544,0081,0187
1545,0061,0187
1546,0183,0187
1547,0128,0187
1548,0128,0187
1549,0183,0188
1550,0059,0188
1551,0067,0188
1552,0049,0188
1553,0083,0188
1554,0101,0188
1555,0053,0188
1556,0134,0188
1557,0027,0188
1558,0061,0188
1559,0140,0188
1560,0138,0188
1561,0167,0188
1562,0081,0188
1563,0189,0189
1564,0189,0189
1565,0189,0189
1566,0157,0189
1567,0094,0189
1568,0195,0190
1569,0031,0190
1570,0137,0190
1571,0165,0190
1572,0003,0190
1573,0161,0190
1574,0007,0190
1575,0093,0190
1576,0083,0190
1577,0069,0191
1578,0018,0191
1579,0104,0191
1580,0194,0191
1581,0161,0191
1582,0033,0191
1583,0130,0191
1584,0194,0191
1585,0016,0191
1586,0168,0192
1587,0027,0192
1588,0079,0192
1589,0014,0192
1590,0079,0192
1591,0193,0192
1592,0138,0192
1593,0115,0192
1594,0056,0192
1595,0008,0193
1596,0035,0193
1597,0104,0193
1598,0130,0193
1599,0193,0193
1600,0139,0193
1601,0025,0193
1602,0011,0193
1603,0130,0193
1604,0115,0194
1605,0040,0194
1606,0040,0194
1607,0024,0194
1608,0170,0194
1609,0082,0194
1610,0145,0194
1611,0191,0194
1612,0194,0194
1613,0118,0194
1614,0164,0195
1615,0086,0195
1616,0023,0195
1617,0115,0195
1618,0145,0195
1619,0155,0195
1620,0059,0196
1621,0100,0196
1622,0183,0196
1623,0012,0196
1624,0161,0196
1625,0099,0196
1626,0063,0196
1627,0196,0196
1628,0192,0196
